,ID,Words,Predicted labels
142,NER_0143,nan,other
143,NER_0144,नए,other
144,NER_0145,प्रोसेसर,other
145,NER_0146,और,other
146,NER_0147,4,number
147,NER_0148,जी,other
148,NER_0149,एलटीई,other
149,NER_0150,क्षमताओं,other
150,NER_0151,के,other
151,NER_0152,लिए,other
152,NER_0153,इस,other
153,NER_0154,टैबलेट,other
154,NER_0155,ने,other
155,NER_0156,प्रशंसा,other
156,NER_0157,कमाई,other
157,NER_0158,और,other
158,NER_0159,इसे,other
159,NER_0160,ज्यादातर,other
160,NER_0161,सकारात्मक,other
161,NER_0162,समीक्षा,other
162,NER_0163,प्राप्त,other
163,NER_0164,हुई,other
164,NER_0165,.,other
165,NER_0166,newline,other
166,NER_0167,जर्जिया,other
167,NER_0168,उन,other
168,NER_0169,१३,number
169,NER_0170,कालोनी,other
170,NER_0171,में,other
171,NER_0172,से,other
172,NER_0173,एक,other
173,NER_0174,है,other
174,NER_0175,जो,other
175,NER_0176,ब्रिटेन,location
176,NER_0177,से,other
177,NER_0178,स्वतंत्र,other
178,NER_0179,होने,other
179,NER_0180,के,other
180,NER_0181,लिये,other
181,NER_0182,विद्रोह,other
182,NER_0183,किये,other
183,NER_0184,.,other
184,NER_0185,newline,other
185,NER_0186,गुरु,other
186,NER_0187,गोविन्द,other
187,NER_0188,सिंह,name
188,NER_0189,का,other
189,NER_0190,जन्म,other
190,NER_0191,26,number
191,NER_0192,दिसम्बर,other
192,NER_0193,1666,other
193,NER_0194,शनिवार,other
194,NER_0195,को,other
195,NER_0196,1,number
196,NER_0197,20,number
197,NER_0198,पर,other
198,NER_0199,माता,other
199,NER_0200,गुजरी,other
200,NER_0201,के,other
201,NER_0202,गर्भ,location
202,NER_0203,से,other
203,NER_0204,हुआ,other
204,NER_0205,था,other
205,NER_0206,.,other
206,NER_0207,newline,other
207,NER_0208,इतालवी,other
208,NER_0209,विकिपीडिया,other
209,NER_0210,इतालवी,other
210,NER_0211,विकिपीडिया,other
211,NER_0212,का,other
212,NER_0213,इतालवी,other
213,NER_0214,भाषा,other
214,NER_0215,का,other
215,NER_0216,संस्करण,other
216,NER_0217,है,other
217,NER_0218,.,other
218,NER_0219,newline,other
219,NER_0220,डॉ॰,other
220,NER_0221,राजेन्द्र,other
221,NER_0222,प्रसाद,other
222,NER_0223,3,number
223,NER_0224,दिसम्बर,other
224,NER_0225,nan,other
225,NER_0226,1884,other
226,NER_0227,-,other
227,NER_0228,28,number
228,NER_0229,फरवरी,other
229,NER_0230,nan,other
230,NER_0231,1963,other
231,NER_0232,भारत,location
232,NER_0233,के,other
233,NER_0234,प्रथम,other
234,NER_0235,राष्ट्रपति,other
235,NER_0236,थे,other
236,NER_0237,.,other
237,NER_0238,newline,other
238,NER_0239,संक्षिप्त,other
239,NER_0240,में,other
240,NER_0241,nan,other
241,NER_0242,यह,other
242,NER_0243,आई,other
243,NER_0244,आई,other
244,NER_0245,टी,other
245,NER_0246,.,other
246,NER_0247,newline,other
247,NER_0248,उन्नीस,other
248,NER_0249,सौ,other
249,NER_0250,साठ,other
250,NER_0251,के,other
251,NER_0252,दशक,other
252,NER_0253,में,other
253,NER_0254,पूरे,other
254,NER_0255,भारत,location
255,NER_0256,में,other
256,NER_0257,उनकी,other
257,NER_0258,फ्री,other
258,NER_0259,स्टाइल,other
259,NER_0260,कुश्तियों,other
260,NER_0261,का,other
261,NER_0262,बोलबाला,other
262,NER_0263,रहा,other
263,NER_0264,.,other
264,NER_0265,newline,other
265,NER_0266,यहां,location
266,NER_0267,शिक्षा,other
267,NER_0268,एक,other
268,NER_0269,समय,other
269,NER_0270,में,other
270,NER_0271,अंधेरे,other
271,NER_0272,में,other
272,NER_0273,था,other
273,NER_0274,.,other
274,NER_0275,newline,other
275,NER_0276,रेमल्लि,other
276,NER_0277,कृष्णा,other
277,NER_0278,में,other
278,NER_0279,भारत,location
279,NER_0280,के,other
280,NER_0281,आन्ध्रप्रदेश,location
281,NER_0282,राज्य,location
282,NER_0283,के,other
283,NER_0284,अन्तर्गत,other
284,NER_0285,के,other
285,NER_0286,कृष्णा,other
286,NER_0287,जिले,location
287,NER_0288,का,other
288,NER_0289,एक,other
289,NER_0290,गांव,location
290,NER_0291,है,other
291,NER_0292,.,other
292,NER_0293,newline,other
293,NER_0294,तप्पॆट्ल,other
294,NER_0295,कडप,other
295,NER_0296,में,other
296,NER_0297,भारत,location
297,NER_0298,के,other
298,NER_0299,आन्ध्रप्रदेश,location
299,NER_0300,राज्य,location
300,NER_0301,के,other
301,NER_0302,अन्तर्गत,other
302,NER_0303,के,other
303,NER_0304,कडप,other
304,NER_0305,जिले,location
305,NER_0306,का,other
306,NER_0307,एक,other
307,NER_0308,गांव,location
308,NER_0309,है,other
309,NER_0310,.,other
310,NER_0311,newline,other
311,NER_0312,ये,other
312,NER_0313,जुड़वा,other
313,NER_0314,इमारतें,other
314,NER_0315,कोलम्बों,other
315,NER_0316,में,other
316,NER_0317,बीरा,other
317,NER_0318,झील,other
318,NER_0319,के,other
319,NER_0320,निकट,location
320,NER_0321,स्थित,other
321,NER_0322,हैं,other
322,NER_0323,.,other
323,NER_0324,newline,other
324,NER_0325,संकेपल्लॆ,other
325,NER_0326,ब्राह्मणपल्लॆ,other
326,NER_0327,अनंतपुर,other
327,NER_0328,में,other
328,NER_0329,भारत,location
329,NER_0330,के,other
330,NER_0331,आन्ध्रप्रदेश,location
331,NER_0332,राज्य,location
332,NER_0333,के,other
333,NER_0334,अन्तर्गत,other
334,NER_0335,के,other
335,NER_0336,अनंतपुर,other
336,NER_0337,जिले,location
337,NER_0338,का,other
338,NER_0339,एक,other
339,NER_0340,गांव,location
340,NER_0341,है,other
341,NER_0342,.,other
342,NER_0343,newline,other
343,NER_0344,इसका,other
344,NER_0345,मुद्रा,other
345,NER_0346,कोड,other
346,NER_0347,है,other
347,NER_0348,.,other
348,NER_0349,newline,other
349,NER_0350,लिंगालदिन्ने,other
350,NER_0351,nan,other
351,NER_0352,कौतालं,other
352,NER_0353,मण्डल,location
353,NER_0354,में,other
354,NER_0355,भारत,location
355,NER_0356,के,other
356,NER_0357,आन्ध्रप्रदेश,location
357,NER_0358,राज्य,location
358,NER_0359,के,other
359,NER_0360,अन्तर्गत,other
360,NER_0361,के,other
361,NER_0362,कर्नूलु,other
362,NER_0363,जिले,location
363,NER_0364,का,other
364,NER_0365,एक,other
365,NER_0366,गांव,location
366,NER_0367,है,other
367,NER_0368,.,other
368,NER_0369,newline,other
369,NER_0370,फ्लैश,other
370,NER_0371,गाॅर्डन,location
371,NER_0372,अंग्रेजी,other
372,NER_0373,एक,other
373,NER_0374,काल्पनिक,other
374,NER_0375,नायक,other
375,NER_0376,है,other
376,NER_0377,जिसकी,other
377,NER_0378,अंतरिक्ष,other
378,NER_0379,के,other
379,NER_0380,रोमांचक,other
380,NER_0381,यात्राओं,other
381,NER_0382,की,other
382,NER_0383,कहानियों,other
383,NER_0384,को,other
384,NER_0385,काॅमिक्स,other
385,NER_0386,स्ट्रिप,other
386,NER_0387,द्वारा,other
387,NER_0388,प्रकाशित,other
388,NER_0389,करते,other
389,NER_0390,है,other
390,NER_0391,और,other
391,NER_0392,जिसकी,other
392,NER_0393,चित्रण,other
393,NER_0394,मूल,other
394,NER_0395,रचनाकार,other
395,NER_0396,एलेक्स,other
396,NER_0397,रेमण्ड,other
397,NER_0398,ने,other
398,NER_0399,की,other
399,NER_0400,है,other
400,NER_0401,.,other
401,NER_0402,newline,other
402,NER_0403,इतिहास,other
403,NER_0404,में,other
404,NER_0405,घरेलू,other
405,NER_0406,बाजार,other
406,NER_0407,के,other
407,NER_0408,शीर्ष,other
408,NER_0409,एकल,other
409,NER_0410,यू,other
410,NER_0411,एस,other
411,NER_0412,.,other
412,NER_0413,newline,other
413,NER_0414,उसके,other
414,NER_0415,बाद,other
415,NER_0416,१९०७,other
416,NER_0417,में,other
417,NER_0418,बैकेलाइट,other
418,NER_0419,की,other
419,NER_0420,भी,other
420,NER_0421,खोज,other
421,NER_0422,की,other
422,NER_0423,थी,other
423,NER_0424,.,other
424,NER_0425,newline,other
425,NER_0426,सोहनलाल,other
426,NER_0427,कंवर,name
427,NER_0428,हिन्दी,other
428,NER_0429,फ़िल्मों,other
429,NER_0430,के,other
430,NER_0431,एक,other
431,NER_0432,निर्देशक,other
432,NER_0433,हैं,other
433,NER_0434,.,other
434,NER_0435,newline,other
435,NER_0436,स्थानीय,other
436,NER_0437,निवासी,other
437,NER_0438,मिओ,other
438,NER_0439,आदिवासियों,other
439,NER_0440,के,other
440,NER_0441,वंशज,other
441,NER_0442,हैं,other
442,NER_0443,.,other
443,NER_0444,newline,other
444,NER_0445,२०१४,number
445,NER_0446,के,other
446,NER_0447,चुनावों,other
447,NER_0448,में,other
448,NER_0449,वे,other
449,NER_0450,असम,other
450,NER_0451,की,other
451,NER_0452,धुबरी,other
452,NER_0453,सीट,other
453,NER_0454,से,other
454,NER_0455,असम,other
455,NER_0456,यूनाइटेड,other
456,NER_0457,डेमोक्रेटिक,other
457,NER_0458,फ्रंट,other
458,NER_0459,के,other
459,NER_0460,टिकट,other
460,NER_0461,पर,other
461,NER_0462,चुनाव,other
462,NER_0463,लड़कर,location
463,NER_0464,निर्वाचित,other
464,NER_0465,हुए,other
465,NER_0466,.,other
466,NER_0467,newline,other
467,NER_0468,कार्तिक,other
468,NER_0469,कृष्ण,other
469,NER_0470,पक्ष,other
470,NER_0471,की,other
471,NER_0472,त्रयोदशी,other
472,NER_0473,तिथि,other
473,NER_0474,के,other
474,NER_0475,दिन,other
475,NER_0476,भगवान,other
476,NER_0477,धन्वन्तरि,other
477,NER_0478,का,other
478,NER_0479,जन्म,other
479,NER_0480,हुआ,other
480,NER_0481,था,other
481,NER_0482,इसलिए,other
482,NER_0483,इस,other
483,NER_0484,तिथि,other
484,NER_0485,को,other
485,NER_0486,धनतेरस,other
486,NER_0487,या,other
487,NER_0488,धनत्रयोदशी,other
488,NER_0489,के,other
489,NER_0490,नाम,name
490,NER_0491,से,other
491,NER_0492,जाना,other
492,NER_0493,जाता,other
493,NER_0494,है,other
494,NER_0495,.,other
495,NER_0496,newline,other
496,NER_0497,भुतानिसी,other
497,NER_0498,-,other
498,NER_0499,वनेल,other
499,NER_0500,०३,number
500,NER_0501,nan,other
501,NER_0502,पौडी,other
502,NER_0503,तहसील,location
503,NER_0504,में,other
504,NER_0505,भारत,location
505,NER_0506,के,other
506,NER_0507,उत्तराखण्ड,other
507,NER_0508,राज्य,location
508,NER_0509,के,other
509,NER_0510,अन्तर्गत,other
510,NER_0511,गढ़वाल,location
511,NER_0512,मण्डल,location
512,NER_0513,के,other
513,NER_0514,पौड़ी,location
514,NER_0515,जिले,location
515,NER_0516,का,other
516,NER_0517,एक,other
517,NER_0518,गांव,location
518,NER_0519,है,other
519,NER_0520,.,other
520,NER_0521,newline,other
521,NER_0522,सन्,other
522,NER_0523,१९८०,other
523,NER_0524,से,other
524,NER_0525,क्लाज़,other
525,NER_0526,निबंध,other
526,NER_0527,एवं,other
527,NER_0528,सॉफ्टवेयर,other
528,NER_0529,पर,other
529,NER_0530,पुस्तकें,other
530,NER_0531,लिख,other
531,NER_0532,रहे,other
532,NER_0533,हैं,other
533,NER_0534,.,other
534,NER_0535,newline,other
535,NER_0536,यहां,location
536,NER_0537,के,other
537,NER_0538,निवासियों,other
538,NER_0539,में,other
539,NER_0540,गोंड,other
540,NER_0541,एवं,other
541,NER_0542,कोल,other
542,NER_0543,जाति,other
543,NER_0544,के,other
544,NER_0545,लोग,other
545,NER_0546,भी,other
546,NER_0547,शामिल,other
547,NER_0548,हैं,other
548,NER_0549,जो,other
549,NER_0550,पहाड़ी,other
550,NER_0551,भागों,other
551,NER_0552,में,other
552,NER_0553,रहते,other
553,NER_0554,हैं,other
554,NER_0555,.,other
555,NER_0556,newline,other
556,NER_0557,क्यार्क,other
557,NER_0558,-,other
558,NER_0559,इड,other
559,NER_0560,nan,other
560,NER_0561,पौडी,other
561,NER_0562,तहसील,location
562,NER_0563,में,other
563,NER_0564,भारत,location
564,NER_0565,के,other
565,NER_0566,उत्तराखण्ड,other
566,NER_0567,राज्य,location
567,NER_0568,के,other
568,NER_0569,अन्तर्गत,other
569,NER_0570,गढ़वाल,location
570,NER_0571,मण्डल,location
571,NER_0572,के,other
572,NER_0573,पौड़ी,location
573,NER_0574,जिले,location
574,NER_0575,का,other
575,NER_0576,एक,other
576,NER_0577,गांव,location
577,NER_0578,है,other
578,NER_0579,.,other
579,NER_0580,newline,other
580,NER_0581,जितेन्द्र,other
581,NER_0582,भाटिया,other
582,NER_0583,517,other
583,NER_0584,.,other
584,NER_0585,newline,other
585,NER_0586,यह,other
586,NER_0587,बरिशाल,other
587,NER_0588,विभाग,other
588,NER_0589,के,other
589,NER_0590,पटुय़ाखाली,other
590,NER_0591,ज़िले,location
591,NER_0592,का,other
592,NER_0593,एक,other
593,NER_0594,उपजिला,location
594,NER_0595,है,other
595,NER_0596,nan,other
596,NER_0597,जिसमें,other
597,NER_0598,nan,other
598,NER_0599,ज़िला,other
599,NER_0600,सदर,other
600,NER_0601,समेत,other
601,NER_0602,nan,other
602,NER_0603,कुल,other
603,NER_0604,8,number
604,NER_0605,उपज़िले,other
605,NER_0606,हैं,other
606,NER_0607,nan,other
607,NER_0608,और,other
608,NER_0609,मुख्यालय,other
609,NER_0610,पटुय़ाखाली,other
610,NER_0611,सदर,other
611,NER_0612,उपजिला,location
612,NER_0613,है,other
613,NER_0614,.,other
614,NER_0615,newline,other
615,NER_0616,पंजाब,location
616,NER_0617,के,other
617,NER_0618,लोक,other
618,NER_0619,नृत्य,other
619,NER_0620,पंजाबी,other
620,NER_0621,नृत्य,other
621,NER_0622,लोक,other
622,NER_0623,और,other
623,NER_0624,पंजाबी,other
624,NER_0625,लोगों,other
625,NER_0626,पंजाब,location
626,NER_0627,क्षेत्र,other
627,NER_0628,के,other
628,NER_0629,लिए,other
629,NER_0630,स्वदेशी,other
630,NER_0631,की,other
631,NER_0632,धार्मिक,other
632,NER_0633,नृत्यों,other
633,NER_0634,की,other
634,NER_0635,एक,other
635,NER_0636,सरणी,other
636,NER_0637,nan,other
637,NER_0638,भारत,location
638,NER_0639,और,other
639,NER_0640,पाकिस्तान,other
640,NER_0641,के,other
641,NER_0642,सीमा,other
642,NER_0643,हैं,other
643,NER_0644,.,other
644,NER_0645,newline,other
645,NER_0646,रंगासायी,other
646,NER_0647,रामाकृष्णा,other
647,NER_0648,भारत,location
648,NER_0649,के,other
649,NER_0650,वरिष्ठ,other
650,NER_0651,सदन,other
651,NER_0652,राज्यसभा,other
652,NER_0653,के,other
653,NER_0654,सदस्य,other
654,NER_0655,हैं,other
655,NER_0656,.,other
656,NER_0657,newline,other
657,NER_0658,हर,other
658,NER_0659,प्रसाद,other
659,NER_0660,दास,name
660,NER_0661,जैन,other
661,NER_0662,कॉलेज,other
662,NER_0663,nan,other
663,NER_0664,महाराजा,other
664,NER_0665,कॉलेज,other
665,NER_0666,nan,other
666,NER_0667,सहजानंद,other
667,NER_0668,ब्रह्मर्षि,other
668,NER_0669,कॉलेज,other
669,NER_0670,nan,other
670,NER_0671,जगजीवन,other
671,NER_0672,कॉलेज,other
672,NER_0673,nan,other
673,NER_0674,महंत,other
674,NER_0675,महादेवानंद,other
675,NER_0676,महिला,other
676,NER_0677,कॉलेज,other
677,NER_0678,प्रमुख,other
678,NER_0679,कॉलेज,other
679,NER_0680,हैं,other
680,NER_0681,.,other
681,NER_0682,newline,other
682,NER_0683,हंगामा,other
683,NER_0684,1971,location
684,NER_0685,में,other
685,NER_0686,बनी,other
686,NER_0687,हिन्दी,other
687,NER_0688,भाषा,other
688,NER_0689,की,other
689,NER_0690,फिल्म,other
690,NER_0691,है,other
691,NER_0692,.,other
692,NER_0693,newline,other
693,NER_0694,जसरोठपुर,other
694,NER_0695,कोइल,other
695,NER_0696,nan,other
696,NER_0697,अलीगढ़,location
697,NER_0698,nan,other
698,NER_0699,उत्तर,location
699,NER_0700,प्रदेश,location
700,NER_0701,स्थित,other
701,NER_0702,एक,other
702,NER_0703,गांव,location
703,NER_0704,है,other
704,NER_0705,.,other
705,NER_0706,newline,other
706,NER_0707,जो,other
707,NER_0708,चार,other
708,NER_0709,साल,other
709,NER_0710,और,other
710,NER_0711,छह,other
711,NER_0712,महीने,other
712,NER_0713,के,other
713,NER_0714,अपने,other
714,NER_0715,जीवन,other
715,NER_0716,काल,other
716,NER_0717,के,other
717,NER_0718,बाद,other
718,NER_0719,बेकार,other
719,NER_0720,हो,other
720,NER_0721,गया,other
721,NER_0722,है,other
722,NER_0723,.,other
723,NER_0724,newline,other
724,NER_0725,57,number
725,NER_0726,एथलीटों,other
726,NER_0727,के,other
727,NER_0728,दल,other
728,NER_0729,ने,other
729,NER_0730,भारत,location
730,NER_0731,का,other
731,NER_0732,प्रतिनिधित्व,other
732,NER_0733,किया,other
733,NER_0734,और,other
734,NER_0735,उनके,other
735,NER_0736,साथ,other
736,NER_0737,42,number
737,NER_0738,अधिकारियों,other
738,NER_0739,का,other
739,NER_0740,समर्थन,other
740,NER_0741,स्टाफ,other
741,NER_0742,था,other
742,NER_0743,.,other
743,NER_0744,newline,other
744,NER_0745,बेवर्ली,other
745,NER_0746,की,other
746,NER_0747,स्थापना,other
747,NER_0748,पूरे,other
748,NER_0749,बेवर्ली,other
749,NER_0750,हिल्स,location
750,NER_0751,क्षेत्र,other
751,NER_0752,के,other
752,NER_0753,लिए,other
753,NER_0754,1927,other
754,NER_0755,में,other
755,NER_0756,कि,other
756,NER_0757,गई,other
757,NER_0758,.,other
758,NER_0759,newline,other
759,NER_0760,दिनकर,other
760,NER_0761,के,other
761,NER_0762,अपने,other
762,NER_0763,शब्दों,other
763,NER_0764,में,other
764,NER_0765,nan,other
765,NER_0766,कर्ण,other
766,NER_0767,-,other
767,NER_0768,चरित्र,other
768,NER_0769,का,other
769,NER_0770,उद्धार,other
770,NER_0771,nan,other
771,NER_0772,एक,other
772,NER_0773,तरह,other
773,NER_0774,से,other
774,NER_0775,नई,other
775,NER_0776,मानवता,other
776,NER_0777,की,other
777,NER_0778,स्थापना,other
778,NER_0779,का,other
779,NER_0780,ही,other
780,NER_0781,प्रयास,other
781,NER_0782,है,other
782,NER_0783,.,other
783,NER_0784,newline,other
784,NER_0785,यहां,location
785,NER_0786,से,other
786,NER_0787,सीधे,other
787,NER_0788,दिल्ली,other
788,NER_0789,nan,other
789,NER_0790,नोएडा,location
790,NER_0791,nan,other
791,NER_0792,आगरा,location
792,NER_0793,nan,other
793,NER_0794,अलीगढ,location
794,NER_0795,nan,other
795,NER_0796,हाथरस,location
796,NER_0797,nan,other
797,NER_0798,मथुरा,location
798,NER_0799,nan,other
799,NER_0800,पलवल,other
800,NER_0801,और,other
801,NER_0802,फरीदाबाद,other
802,NER_0803,आदि,other
803,NER_0804,के,other
804,NER_0805,लिए,other
805,NER_0806,जा,other
806,NER_0807,सकते,other
807,NER_0808,हैं,other
808,NER_0809,.,other
809,NER_0810,newline,other
810,NER_0811,शासन,other
811,NER_0812,ने,other
812,NER_0813,प्रशासन,other
813,NER_0814,को,other
814,NER_0815,सुदृढ़,other
815,NER_0816,करने,other
816,NER_0817,हेतु,other
817,NER_0818,१३,number
818,NER_0819,मई,other
819,NER_0820,१९७२,other
820,NER_0821,को,other
821,NER_0822,अल्मोड़,location
822,NER_0823,जिले,location
823,NER_0824,से,other
824,NER_0825,चप्पावत,other
825,NER_0826,तहसील,location
826,NER_0827,को,other
827,NER_0828,निकालकर,other
828,NER_0829,पिथौरागढ़,other
829,NER_0830,में,other
830,NER_0831,मिला,other
831,NER_0832,दिया,other
832,NER_0833,.,other
833,NER_0834,newline,other
834,NER_0835,इनके,other
835,NER_0836,द्वारा,other
836,NER_0837,रचित,other
837,NER_0838,एक,other
838,NER_0839,कहानी,other
839,NER_0840,–,other
840,NER_0841,संग्रह,other
841,NER_0842,बिचित्रवर्णा,other
842,NER_0843,के,other
843,NER_0844,लिये,other
844,NER_0845,उन्हें,other
845,NER_0846,सन्,other
846,NER_0847,1992,other
847,NER_0848,में,other
848,NER_0849,साहित्य,other
849,NER_0850,अकादमी,other
850,NER_0851,पुरस्कार,other
851,NER_0852,से,other
852,NER_0853,सम्मानित,other
853,NER_0854,मरणोपरांत,other
854,NER_0855,किया,other
855,NER_0856,गया,other
856,NER_0857,.,other
857,NER_0858,newline,other
858,NER_0859,सिलंगी,other
859,NER_0860,nan,other
860,NER_0861,कर्णप्रयाग,other
861,NER_0862,तहसील,location
862,NER_0863,में,other
863,NER_0864,भारत,location
864,NER_0865,के,other
865,NER_0866,उत्तराखण्ड,other
866,NER_0867,राज्य,location
867,NER_0868,के,other
868,NER_0869,अन्तर्गत,other
869,NER_0870,गढ़वाल,location
870,NER_0871,मण्डल,location
871,NER_0872,के,other
872,NER_0873,चमोली,other
873,NER_0874,जिले,location
874,NER_0875,का,other
875,NER_0876,एक,other
876,NER_0877,गांव,location
877,NER_0878,है,other
878,NER_0879,.,other
879,NER_0880,newline,other
880,NER_0881,कानून,other
881,NER_0882,सब,other
882,NER_0883,दांव,other
883,NER_0884,निषेध,other
884,NER_0885,नहीं,other
885,NER_0886,है,other
886,NER_0887,.,other
887,NER_0888,newline,other
888,NER_0889,हिमालयन,other
889,NER_0890,एक्स्प्रेसवे,other
890,NER_0891,27,number
891,NER_0892,5,number
892,NER_0893,कि,other
893,NER_0894,.,other
894,NER_0895,newline,other
895,NER_0896,जंगाव,other
896,NER_0897,nan,other
897,NER_0898,कुभीर,other
898,NER_0899,‌,other
899,NER_0900,मण्डल,location
900,NER_0901,में,other
901,NER_0902,भारत,location
902,NER_0903,के,other
903,NER_0904,आन्ध्रप्रदेश,location
904,NER_0905,राज्य,location
905,NER_0906,के,other
906,NER_0907,अन्तर्गत,other
907,NER_0908,के,other
908,NER_0909,अदिलाबादु,other
909,NER_0910,जिले,location
910,NER_0911,का,other
911,NER_0912,एक,other
912,NER_0913,गांव,location
913,NER_0914,है,other
914,NER_0915,.,other
915,NER_0916,newline,other
916,NER_0917,छोटे,other
917,NER_0918,सिंह,name
918,NER_0919,nan,other
919,NER_0920,भारत,location
920,NER_0921,के,other
921,NER_0922,उत्तर,location
922,NER_0923,प्रदेश,location
923,NER_0924,की,other
924,NER_0925,पंद्रहवी,other
925,NER_0926,विधानसभा,other
926,NER_0927,सभा,other
927,NER_0928,में,other
928,NER_0929,विधायक,other
929,NER_0930,रहे,other
930,NER_0931,रहीं,other
931,NER_0932,.,other
932,NER_0933,newline,other
933,NER_0934,रैगांव,other
934,NER_0935,nan,other
935,NER_0936,थराली,location
936,NER_0937,तहसील,location
937,NER_0938,में,other
938,NER_0939,भारत,location
939,NER_0940,के,other
940,NER_0941,उत्तराखण्ड,other
941,NER_0942,राज्य,location
942,NER_0943,के,other
943,NER_0944,अन्तर्गत,other
944,NER_0945,गढ़वाल,location
945,NER_0946,मण्डल,location
946,NER_0947,के,other
947,NER_0948,चमोली,other
948,NER_0949,जिले,location
949,NER_0950,का,other
950,NER_0951,एक,other
951,NER_0952,गांव,location
952,NER_0953,है,other
953,NER_0954,.,other
954,NER_0955,newline,other
955,NER_0956,इसके,other
956,NER_0957,निर्माता,other
957,NER_0958,शशि,other
958,NER_0959,मित्तल,other
959,NER_0960,और,other
960,NER_0961,सुमीत,other
961,NER_0962,मित्तल,other
962,NER_0963,हैं,other
963,NER_0964,.,other
964,NER_0965,newline,other
965,NER_0966,सईद,other
966,NER_0967,मोहम्मद,other
967,NER_0968,बाक़िर,other
968,NER_0969,रिज़वी,other
969,NER_0970,भारत,location
970,NER_0971,के,other
